Car Name,Price,Kms Driven,Fuel Type,Transmission,Ownership,Manufacturer,Engine,Seats,
BMW i20,37.57 lakh,96372 km,cng,AUTOMATIC,Third,BMW,2000cc,6,
BMW C-Class,37.11lakh,29217 km,Diesel,Automatic,Third,BMW,1200cc,6,
 bmw c-class ,43.51 lakh,52102 km,Petrol,Automatic,Second,BMW,1200cc,4,
 bmw i20 ,20.83 lakh,127130 km,CNG,Automatic,First,BMW,2000cc,5,
 tata nexon ,46.52lakh,123944 km,Diesel,Manual,First,Tata,1200cc,7,
Ford Innova,13.15 crore,116616 km,petrol,Automatic,First,Ford,1200cc,4,
Hyundai Figo,15.1 thousand,7062 km,Diesel,Automatic,First,Hyundai,800cc,6,
 mercedes swift ,10.17 lakh,39517 km,CNG,Manual,Third,Mercedes,1500cc,7,
Toyota Nexon,40.03 thousand,90590 km,petrol,Automatic,First,Toyota,1200cc,7,
Mercedes City,20.49crore,141975 km,Petrol,Automatic,Second,Mercedes,1200cc,5,
Ford Swift,36.39 lakh,120106 km,diesel,Automatic,Third,Ford,2000cc,7,
Tata i20,26.44 lakh,19810 km,Diesel,Automatic,Third,Tata,1500cc,7,
 ford city ,33.83 crore,80855 km,electric,Manual,Third,Ford,1500cc,4,
 maruti x1 ,30.72 crore,49875 km,petrol,Manual,Third,Maruti,1000cc,7,
Hyundai Nexon,24.97 crore,112444 km,electric,Automatic,Third,Hyundai,1000cc,7,
 ford swift ,18.78 lakh,29945 km,Diesel,Manual,Third,Ford,2000cc,7,
BMW Swift,15.9 lakh,,diesel,Automatic,First,BMW,800cc,5,
Honda City,38.49 lakh,102996 km,Petrol,Manual,Third,Honda,1000cc,4,
Ford C-Class,44.92 crore,9617 km,diesel,Manual,Second,Ford,1000cc,7,
 toyota i20 ,35.97thousand,6281 km,petrol,Manual,Second,Toyota,1200cc,5,
Ford City,34.3 lakh,142418 km,Petrol,Automatic,Third,Ford,1000cc,4,
Maruti Figo,32.99crore,24209 km,Petrol,Manual,Third,Maruti,1000cc,7,
 hyundai city ,25.41 crore,126593 km,Electric,Automatic,Second,Hyundai,1000cc,5,
Honda X1,20.42 thousand,69023 km,Petrol,Automatic,Third,Honda,2000cc,6,
Mercedes X1,44.24 crore,15767 km,diesel,Manual,Third,Mercedes,1200cc,6,
Toyota Swift,35.47 crore,51082 km,cng,Automatic,First,Toyota,2000cc,6,
 mercedes nexon ,13.6 lakh,129928 km,petrol,AUTOMATIC,Second,Mercedes,1000cc,5,
 honda swift ,48.56 lakh,79508 km,Petrol,Automatic,First,Honda,1500cc,5,
Tata City,14.46 thousand,73721 km,Diesel,Automatic,Second,Tata,1200cc,4,
Ford C-Class,4.8 lakh,119551 km,Electric,Automatic,Third,Ford,1000cc,6,
Honda i20,42.28 lakh,72805 km,CNG,Manual,Second,Honda,1500cc,6,
 toyota swift ,38.96 crore,44374 km,petrol,Automatic,First,Toyota,1000cc,4,
Honda Swift,40.62 lakh,25458 km,Electric,Automatic,Second,Honda,2000cc,5,
BMW i20,28.06 lakh,105438 km,Electric,Manual,Second,BMW,800cc,6,
Maruti i20,12.69 thousand,42248 km,Electric,Manual,First,Maruti,2000cc,,
 bmw i20 ,40.58 thousand,10759 km,Petrol,Automatic,Second,BMW,800cc,6,
Mercedes X1,28.63 crore,116502 km,Petrol,Automatic,Second,Mercedes,1500cc,4,
Honda Figo,38.5 lakh,61086 km,Petrol,Automatic,Third,Honda,2000cc,5,
Toyota Figo,37.55 lakh,134705 km,,Manual,Third,Toyota,1500cc,6,
Maruti i20,38.58 crore,93853 km,diesel,Automatic,Second,Maruti,2000cc,6,
BMW i20,46.95 crore,69194 km,Diesel,Manual,Second,BMW,1000cc,7,
BMW i20,42.38 lakh,80511 km,cng,Automatic,Second,BMW,2000cc,5,
 honda x1 ,45.22lakh,30798 km,Diesel,MANUAL,Second,Honda,1000cc,6,
BMW Figo,38.03 thousand,149359 km,Diesel,Manual,First,BMW,1200cc,6,
Hyundai X1,45.18 crore,71013 km,Petrol,Manual,Third,Hyundai,800cc,4,
Tata City,20.76 thousand,25573 km,Diesel,Automatic,First,Tata,1500cc,7,
 toyota c-class ,33.54 crore,6336 km,Petrol,Automatic,Third,Toyota,1000cc,5,
Tata Figo,15.62 thousand,89987 km,CNG,Manual,Third,Tata,2000cc,4,
BMW X1,47.7 crore,122911 km,Petrol,Automatic,First,BMW,1000cc,6,
Honda Innova,12.65 thousand,86775 km,Diesel,Manual,First,Honda,1200cc,6,
Mercedes Swift,27.16 lakh,136537 km,diesel,Manual,Third,Mercedes,1200cc,7,
Hyundai Nexon,48.51 lakh,33577 km,petrol,Manual,First,Hyundai,1200cc,4,
Hyundai Innova,48.16 thousand,118319 km,Petrol,AUTOMATIC,First,Hyundai,800cc,4,
Tata i20,36.74 lakh,85488 km,Petrol,Manual,First,Tata,1200cc,6,
 maruti nexon ,30.56thousand,135181 km,Petrol,Automatic,Third,Maruti,800cc,4,
Mercedes X1,21.5 lakh,58066 km,Diesel,AUTOMATIC,First,Mercedes,1000cc,6,
Hyundai Swift,15.19 crore,123455 km,Petrol,AUTOMATIC,Third,Hyundai,1200cc,4,
 ford c-class ,41.84thousand,21159 km,Electric,Manual,Second,Ford,1000cc,4,
Toyota i20,29.89 lakh,63837 km,Petrol,Automatic,First,Toyota,1200cc,4,
Tata Figo,14.62 lakh,124802 km,Diesel,Manual,First,Tata,800cc,4,
Ford Figo,45.15 thousand,135581 km,Electric,Automatic,First,Ford,800cc,7,
Hyundai City,23.27 lakh,21664 km,CNG,Manual,Second,Hyundai,2000cc,5,
 hyundai city ,24.33 lakh,53336 km,Electric,Automatic,First,Hyundai,1200cc,6,
